Date,Province,Region,Last Update,Confirmed,Deaths,Recovered
2/6/2020 13:18,"Santa Clara, CA",US,2/3/2020 0:43,2,0,0
2/6/2020 13:18,,Belgium,2/4/2020 15:43,1,0,0
2/6/2020 13:18,,Cambodia,1/31/2020 8:15,1,0,0
2/6/2020 13:18,"London, ON",Canada,2/4/2020 0:03,1,0,0
2/6/2020 13:18,,Finland,1/31/2020 8:15,1,0,0
2/6/2020 13:18,Tibet,Mainland China,2/1/2020 1:52,1,0,0
2/6/2020 13:18,,Nepal,1/31/2020 8:15,1,0,0
2/6/2020 13:18,,Spain,2/1/2020 23:43,1,0,0
2/6/2020 13:18,,Sri Lanka,1/31/2020 8:15,1,0,0
2/6/2020 13:18,,Sweden,2/1/2020 2:13,1,0,0
2/6/2020 13:18,"Boston, MA",US,2/1/2020 19:43,1,0,0
2/6/2020 13:18,"Los Angeles, CA",US,2/1/2020 19:53,1,0,0
2/6/2020 13:18,"Madison, WI",US,2/5/2020 21:53,1,0,0
2/6/2020 13:18,"Orange, CA",US,2/1/2020 19:53,1,0,0
2/6/2020 13:18,"Seattle, WA",US,2/1/2020 19:43,1,0,0
2/6/2020 13:18,"Tempe, AZ",US,2/1/2020 19:43,1,0,0
2/5/2020 12:20,Hubei,Mainland China,2/5/2020 16:43,16678,479,538
2/5/2020 12:20,Guangdong,Mainland China,2/5/2020 13:23,895,0,49
2/5/2020 12:20,Zhejiang,Mainland China,2/5/2020 15:13,895,0,78
2/5/2020 12:20,Henan,Mainland China,2/5/2020 15:03,764,2,47
2/5/2020 12:20,Hunan,Mainland China,2/5/2020 15:23,661,0,54
2/5/2020 12:20,Jiangxi,Mainland China,2/5/2020 1:33,548,0,27
2/5/2020 12:20,Anhui,Mainland China,2/5/2020 13:43,530,0,23
2/5/2020 12:20,Chongqing,Mainland China,2/5/2020 9:13,376,2,15
2/5/2020 12:20,Jiangsu,Mainland China,2/5/2020 12:43,341,0,23
2/5/2020 12:20,Shandong,Mainland China,2/5/2020 10:13,307,0,15
2/5/2020 12:20,Sichuan,Mainland China,2/5/2020 10:13,301,1,24
2/5/2020 12:20,Beijing,Mainland China,2/5/2020 5:43,253,1,24
2/5/2020 12:20,Shanghai,Mainland China,2/5/2020 6:23,243,1,15
2/5/2020 12:20,Fujian,Mainland China,2/5/2020 12:33,205,0,11
